type,name,city,region,postalCode,url,min,max
"domaine-mariage","Hameau de Gratte","Faugères","Ardèche","07230","https://www.mariages.net/domaine-mariage/hameau-de-gratte--e170890",30,100
"chateau-mariage","Château de Senaud","Albon","Drôme","26410","https://www.mariages.net/chateau-mariage/chateau-de-senaud--e314164",0,160
"domaine-mariage","Domaine de Messenas","Roissard","Isère","38650","https://www.mariages.net/domaine-mariage/domaine-de-messenas--e19598",60,200
"hotel-mariage","Lodji","Les Belleville","Savoie","73440","https://www.mariages.net/hotel-mariage/lodji--e238670",50,400
"chateau-mariage","Château de la Chapelle des Bois","Fleurie","Rhône","69820","https://www.mariages.net/chateau-mariage/chateau-de-la-chapelle-des-bois--e32999",10,200
"domaine-mariage","Le Catalpa","Cordelle","Loire","42123","https://www.mariages.net/domaine-mariage/le-catalpa--e134207",30,110
"domaine-mariage","Château Rocher","Roybon","Isère","38 940","https://www.mariages.net/domaine-mariage/chateau-rocher--e137620",0,150
"hotel-mariage","Golden Tulip Aix les Bains","Aix-les-Bains","Savoie","73100","https://www.mariages.net/hotel-mariage/golden-tulip-aix-les-bains--e153614",2,130
"domaine-mariage","Château des Vergers","Lantignié","Rhône","69430","https://www.mariages.net/domaine-mariage/chateau-des-vergers--e32234",0,150
"salle-mariage","Tikazéla - Escale Tournon-Sur-Rhône","Tournon-sur-Rhône","Ardèche","07300","https://www.mariages.net/salle-mariage/tikazela-escale-tournon-sur-rhone--e327896",30,250
"chateau-mariage","Fort Marie-Thérèse","Avrieux","Savoie","73500","https://www.mariages.net/chateau-mariage/fort-marie-therese--e164670",10,200
"domaine-mariage","L'Escale","Châtel","Haute-Savoie","74390","https://www.mariages.net/domaine-mariage/lescale--e191421",25,90
"domaine-mariage","La Grange du Serpolier","Villeneuve-de-Marc","Isère","38440","https://www.mariages.net/domaine-mariage/la-grange-du-serpolier--e365169",0,150
"chateau-mariage","Château de Thorens","Fillière","Haute-Savoie","74570","https://www.mariages.net/chateau-mariage/chateau-de-thorens--e274755",20,220
"chateau-mariage","Château de Chavagneux","Genouilleux","Ain","01090","https://www.mariages.net/chateau-mariage/chateau-de-chavagneux--e183909",80,500
"salle-mariage","L’Artizanale","Pont-Évêque","Isère","38780","https://www.mariages.net/salle-mariage/l-artizanale--e206005",30,120
"domaine-mariage","Le Lyon Vert","La Tour-de-Salvagny","Rhône","69890","https://www.mariages.net/domaine-mariage/le-lyon-vert--e114474",10,900
"chateau-mariage","Château de Saint Bonnet le Froid","Courzieu","Rhône","69690","https://www.mariages.net/chateau-mariage/chateau-de-saint-bonnet-le-froid--e307058",0,90
"domaine-mariage","Château d'Avignonet","Avignonet","Isère","38650","https://www.mariages.net/domaine-mariage/chateau-davignonet--e296732",1,100
"chateau-mariage","Château du Sou","Lacenas","Rhône","69640","https://www.mariages.net/chateau-mariage/chateau-du-sou--e118624",20,195
"domaine-mariage","Domaine Bacchus","Groslée","Ain","01680","https://www.mariages.net/domaine-mariage/domaine-bacchus--e329500",20,250
"domaine-mariage","Manoir des Brons","Combloux","Haute-Savoie","74920","https://www.mariages.net/domaine-mariage/manoir-des-brons--e106491",2,85
"chateau-mariage","Château des Gaudras","Roiffieux","Ardèche","07100","https://www.mariages.net/chateau-mariage/chateau-des-gaudras--e139469",150,200
"chateau-mariage","Château Saint Genix","Saint-Genix-sur-Guiers","Savoie","73240","https://www.mariages.net/chateau-mariage/chateau-saint-genix--e304450",10,120
"salle-mariage","Le Domaine du Forez","Saint Just Saint Rambert","Loire","42170","https://www.mariages.net/salle-mariage/le-domaine-du-forez--e349622",40,500
"domaine-mariage","Le Clos des Près Secs","Lozanne","Rhône","69380","https://www.mariages.net/domaine-mariage/le-clos-des-pres-secs--e90320",80,220
"domaine-mariage","Domaine de Divonne Hôtel 4* Golf et Casino","Divonne-les-Bains","Ain","01220","https://www.mariages.net/domaine-mariage/domaine-de-divonne-hotel-4-golf-et-casino--e19187",30,250
"domaine-mariage","Le Domaine De Vénus","Châteauneuf-de-Galaure","Drôme","26240","https://www.mariages.net/domaine-mariage/le-domaine-de-venus--e314180",80,200
"salle-mariage","Casino de Saint Galmier","Saint-Galmier","Loire","42330","https://www.mariages.net/salle-mariage/casino-de-saint-galmier--e130354",20,90
"hotel-mariage","Chalet Hôtel La Marmotte","Les Gets","Haute-Savoie","74260","https://www.mariages.net/hotel-mariage/chalet-hotel-la-marmotte--e129642",40,150
"salle-mariage","E-Motion Concept","Annecy","Haute-Savoie","74600","https://www.mariages.net/salle-mariage/e-motion-concept--e296806",20,450
"domaine-mariage","Domaine du Petit Chambard","Ambérieux-en-Dombes","Ain","01480","https://www.mariages.net/domaine-mariage/domaine-du-petit-chambard--e123606",30,145
"domaine-mariage","Le Hameau du Prat","Ribes","Ardèche","07260","https://www.mariages.net/domaine-mariage/le-hameau-du-prat--e145849",80,110
"domaine-mariage","La Garenne de Morestel","Morestel","Isère","38510","https://www.mariages.net/domaine-mariage/la-garenne-de-morestel--e248203",50,200
"hotel-mariage","Chalet Accroche-Coeur","Bourg-Saint-Maurice","Savoie","73700","https://www.mariages.net/hotel-mariage/chalet-accroche-coeur--e132800",50,90
"salle-mariage","Le sapin","Corrençon-en-Vercors","Isère","38250","https://www.mariages.net/salle-mariage/le-sapin--e332788",0,300
"domaine-mariage","La Ferme aux Trois Granges","Boisset-lès-Montrond","Loire","42210","https://www.mariages.net/domaine-mariage/la-ferme-aux-trois-granges--e226222",10,90
"chateau-mariage","Château de Saint Marcel de Félines","Saint-Marcel-de-Félines","Loire","42122","https://www.mariages.net/chateau-mariage/chateau-de-saint-marcel-de-felines--e107046",10,200
"salle-mariage","Coeur de Grésivaudan","La Buissière","Isère","38530","https://www.mariages.net/salle-mariage/coeur-de-gresivaudan--e268741",1,110
"domaine-mariage","Domaine des Terres Noires","La Garde-Adhémar","Drôme","26700","https://www.mariages.net/domaine-mariage/domaine-des-terres-noires--e367225",50,150
"domaine-mariage","Le Gardien du Chai","Salt-en-Donzy","Loire","42110","https://www.mariages.net/domaine-mariage/le-gardien-du-chai--e344848",20,400
"domaine-mariage","Pre-Jeantet","Valserhône","Ain","01200","https://www.mariages.net/domaine-mariage/pre-jeantet--e320450",50,200
